filename,width,height,class,xmin,ymin,xmax,ymax
IMG_0973-transformed_png.rf.3b62cd220f7a1461f17ea2c6a065d78c.jpg,640,640,vim-soap,328,167,488,473
IMG_0983-transformed-1-_png.rf.7bbff8631de77bbb84a728338a9dccbb.jpg,640,640,vim-soap,242,418,591,583
IMG_0946-transformed_png.rf.346fc116dda6dcf24826a1f0caf1cd38.jpg,640,640,vim-soap,209,313,400,412
IMG_0920-transformed_png.rf.c5c1e945ae193e55521a35b0a1d1982c.jpg,640,640,vim-soap,65,278,580,399
IMG_0988-transformed_png.rf.29eb848a788bbd6b769448720524ca10.jpg,640,640,vim-soap,154,198,389,375
IMG_0926-transformed_png.rf.6936db379dd514ce0917483e6ac82b1e.jpg,640,640,vim-soap,63,235,566,358
IMG_0975-transformed_png.rf.73c83da76260f305ea2f004f0999d701.jpg,640,640,vim-soap,285,274,544,486
IMG_0979-transformed_png.rf.574d90a31a95ad4c439313149223985d.jpg,640,640,vim-soap,274,287,594,546
IMG_0982-transformed_png.rf.46e78356eb73ea3e500c1d22af6fef45.jpg,640,640,vim-soap,280,306,594,551
IMG_0956-transformed_png.rf.37e616bbcaae7f682f798ac9adb0e04e.jpg,640,640,vim-soap,259,291,293,324
IMG_0956-transformed_png.rf.37e616bbcaae7f682f798ac9adb0e04e.jpg,640,640,vim-soap,233,335,307,530
IMG_0954-transformed_png.rf.8e4d30ebee7590faaa79cba88dc32512.jpg,640,640,vim-soap,199,340,381,395
IMG_0974-transformed_png.rf.7af4fdc3ec8b2ead99005819316e86fb.jpg,640,640,vim-soap,262,378,531,479
IMG_0932-transformed_png.rf.d4efe65e684b3f631a4aa145f10d71ff.jpg,640,640,vim-soap,186,293,471,509
IMG_0958-transformed_png.rf.1f46559b744352d3a85ce8e1b7ed4d4d.jpg,640,640,vim-soap,244,257,478,487
IMG_0966-transformed_png.rf.af384b1107d17a5035570388060ab23c.jpg,640,640,vim-soap,148,260,270,525
IMG_0942-0ElSgrQp6-transformed_png.rf.c710635ca528835f0a0767b7b57ba520.jpg,640,640,vim-soap,171,267,448,413
IMG_0944-transformed_png.rf.350abcad3a0123379664d8cfb0cc5d04.jpg,640,640,vim-soap,55,77,604,585
IMG_0925-transformed_png.rf.3f1ee5d7f055d526e479a356ee347538.jpg,640,640,vim-soap,121,240,612,453
IMG_0976-transformed_png.rf.c74f9d2cdd6a0f89f8784f1c164d7012.jpg,640,640,vim-soap,328,193,501,506
IMG_0970-transformed_png.rf.a5d9dee808b3fd9852e031016c9623cb.jpg,640,640,vim-soap,266,289,484,462
IMG_0987-transformed_png.rf.f3f0745467531c054704366bd8c03fa1.jpg,640,640,vim-soap,287,309,537,557
IMG_0930-transformed_png.rf.ac42c2381dc723ea73f0b08fbb313833.jpg,640,640,vim-soap,223,173,512,525
IMG_0980-transformed_png.rf.13c522cff69cf2f909007b7712e06b97.jpg,640,640,vim-soap,242,411,553,530
IMG_0986-HCDPn3LJ0-transformed_png.rf.6d9e4b64e8ac6a954292ac4cc422bbd8.jpg,640,640,vim-soap,364,404,562,528
IMG_0917-transformed_png.rf.c6fc86777ed3cdf5a24ff4b324774703.jpg,640,640,vim-soap,38,277,545,510
IMG_0922-transformed_png.rf.5d00339cfdedc8693fbab8825c06f666.jpg,640,640,vim-soap,241,127,392,547
IMG_0923-transformed_png.rf.818a76de74b5d8dfc64ba37939629bcf.jpg,640,640,vim-soap,241,132,393,548
IMG_0950-transformed_png.rf.b5b7854052d15d8ce5a1f03fdf53f20b.jpg,640,640,vim-soap,220,356,355,555
IMG_0935-transformed_png.rf.93bab73dfae4e063e6b0e411fc9f12c3.jpg,640,640,vim-soap,152,268,408,594
IMG_0960-transformed_png.rf.f13d439dac4332f8cc19568bf5cf3611.jpg,640,640,vim-soap,259,256,413,394
IMG_0978-transformed_png.rf.271e3dfa7324ca982aac78249d88f2dd.jpg,640,640,vim-soap,350,141,529,522
IMG_0998-transformed_png.rf.e329aa9f5cebc29f79c26d6ffbff6155.jpg,640,640,vim-soap,0,301,580,422
IMG_0921-transformed_png.rf.5570e70066fbac14e1c32462ffe0352a.jpg,640,640,vim-soap,62,278,579,398
IMG_0939-transformed_png.rf.0d8237dc316ba1e3dc001dbc3edb30d3.jpg,640,640,vim-soap,123,226,440,588
IMG_0994-transformed_png.rf.982f5342a75b6ac85ca4d18ffe3f6f6e.jpg,640,640,vim-soap,209,150,453,633
IMG_0937-transformed_png.rf.95061912813ee2fc5fbaf9f3276e237b.jpg,640,640,vim-soap,228,245,343,498
IMG_0919-transformed_png.rf.7092fa4405fe4ae8ca8b263c9c059ba6.jpg,640,640,vim-soap,28,277,554,479
IMG_0972-transformed_png.rf.e78ad08403b7cd22c456289a063de1f5.jpg,640,640,vim-soap,280,275,514,461
IMG_0964-transformed_png.rf.29233b946143e398bce854875d997ce5.jpg,640,640,vim-soap,168,234,363,455
IMG_0952-transformed_png.rf.91cf6de59258ced572a7523d546668ab.jpg,640,640,vim-soap,216,325,420,524
IMG_0999-transformed_png.rf.be24ad249872c6c5d6c7d9f4ed7b4fa7.jpg,640,640,vim-soap,0,219,596,515
IMG_0933-transformed_png.rf.0be517c374c07d247eb66d2cbcf7b475.jpg,640,640,vim-soap,177,273,409,589
IMG_0941-transformed_png.rf.449c8894ecd012a5c91e464daccdbb74.jpg,640,640,vim-soap,52,189,640,457
IMG_0997-transformed_png.rf.42d65ee07c189c88cd021dc9eee9da84.jpg,640,640,vim-soap,15,290,555,548
IMG_0985-transformed_png.rf.160d9e86ebe23fd6c377e9498b839cfc.jpg,640,640,vim-soap,301,286,625,539
IMG_0985-transformed_png.rf.160d9e86ebe23fd6c377e9498b839cfc.jpg,640,640,vim-soap,104,234,398,510
IMG_0993-kXdTw2Zx-transformed_png.rf.ac3a9d68408a5d7b49f19c93dfadf419.jpg,640,640,vim-soap,232,199,448,596
IMG_0991-transformed_png.rf.3823542f0d6975a4c47cf3f54705525e.jpg,640,640,vim-soap,319,56,465,380
IMG_0917__1_-removebg_png.rf.5d7cf419733f504bcb37a1075672b21b.jpg,640,640,vim-soap,41,275,546,510
